POI_METHOD,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
backdoor,1e-30,0.9807493936842105,2363,3576,137,0.9452,0.3978784307122411,0.5600189595923687,0.07528421052631579
backdoor,1e-31,0.9807493936842105,2360,3407,140,0.944,0.40922490029478065,0.570944719970969,0.07172631578947368
backdoor,1e-32,0.9807493936842105,2349,3255,151,0.9396,0.41916488222698073,0.5797137216189536,0.06852631578947369
backdoor,1e-33,0.9807493936842105,2343,3102,157,0.9372,0.4303030303030303,0.58980490874764,0.06530526315789474
backdoor,1e-34,0.9807493936842105,2337,2942,163,0.9348,0.4426974805834438,0.6008484381025839,0.06193684210526316
backdoor,1e-35,0.9807493936842105,2333,2810,167,0.9332,0.45362628815866224,0.6104932618081904,0.059157894736842104
backdoor,1e-36,0.9807493936842105,2330,2689,170,0.932,0.4642359035664475,0.6197632663918075,0.05661052631578947
backdoor,1e-37,0.9807493936842105,2325,2586,175,0.93,0.47342700061087356,0.6274456888409122,0.054442105263157896
backdoor,1e-38,0.9807493936842105,2315,2468,185,0.926,0.4840058540664855,0.6357270355622683,0.051957894736842106
backdoor,1e-39,0.9807493936842105,2310,2376,190,0.924,0.49295774647887325,0.6429167826328973,0.050021052631578945
backdoor,1e-40,0.9807493936842105,2300,2274,200,0.92,0.5028421512898994,0.6502685891998868,0.04787368421052632
backdoor,1e-41,0.9807493936842105,2293,2188,207,0.9172,0.5117161347913413,0.656925941842143,0.04606315789473684
backdoor,1e-42,0.9807493936842105,2289,2113,211,0.9156,0.519990913221263,0.663286004056795,0.04448421052631579
backdoor,1e-43,0.9807493936842105,2280,2033,220,0.912,0.5286343612334802,0.6693086745926905,0.0428
backdoor,1e-44,0.9807493936842105,2280,1956,220,0.912,0.5382436260623229,0.6769596199524941,0.04117894736842105
backdoor,1e-45,0.9807493936842105,2277,1874,223,0.9108,0.548542519874729,0.6847090663058188,0.03945263157894737
backdoor,1e-46,0.9807493936842105,2273,1785,227,0.9092,0.5601281419418432,0.6931991460811223,0.03757894736842105
backdoor,1e-47,0.9807493936842105,2264,1712,236,0.9056,0.5694164989939637,0.6991970352069179,0.036042105263157896
backdoor,1e-48,0.9807493936842105,2256,1650,244,0.9024,0.5775729646697388,0.7043396815485483,0.034736842105263156
backdoor,1e-49,0.9807493936842105,2251,1597,249,0.9004,0.5849792099792099,0.7091997479521108,0.03362105263157895
backdoor,1e-50,0.9807493936842105,2245,1531,255,0.898,0.5945444915254238,0.7154238368387509,0.032231578947368424
backdoor,1e-51,0.9807493936842105,2241,1470,259,0.8964,0.6038803556992725,0.721622927064885,0.030947368421052633
backdoor,1e-52,0.9807493936842105,2236,1410,264,0.8944,0.6132748217224355,0.727627725349821,0.02968421052631579
backdoor,1e-53,0.9807493936842105,2229,1350,271,0.8916,0.622799664710813,0.73334430004935,0.028421052631578948
backdoor,1e-54,0.9807493936842105,2223,1296,277,0.8892,0.6317135549872123,0.7386609071274297,0.02728421052631579
backdoor,1e-55,0.9807493936842105,2219,1235,281,0.8876,0.6424435437174291,0.7453812562982869,0.026
backdoor,1e-56,0.9807493936842105,2213,1189,287,0.8852,0.6504997060552616,0.7499152829549305,0.025031578947368422
backdoor,1e-57,0.9807493936842105,2208,1140,292,0.8832,0.6594982078853047,0.7551299589603283,0.024
backdoor,1e-58,0.9807493936842105,2199,1097,301,0.8796,0.6671723300970874,0.7587991718426501,0.02309473684210526
backdoor,1e-59,0.9807493936842105,2192,1052,308,0.8768,0.6757090012330457,0.7632311977715878,0.02214736842105263
backdoor,1e-60,0.9807493936842105,2187,1016,313,0.8748,0.6827973774586326,0.766964755391899,0.021389473684210528
backdoor,1e-61,0.9807493936842105,2183,981,317,0.8732,0.6899494310998736,0.7708333333333334,0.020652631578947367
backdoor,1e-62,0.9807493936842105,2174,940,326,0.8696,0.6981374438021837,0.7744923405771287,0.019789473684210527
backdoor,1e-63,0.9807493936842105,2169,908,331,0.8676,0.7049073773155671,0.7778375470683163,0.01911578947368421
backdoor,1e-64,0.9807493936842105,2160,874,340,0.864,0.7119314436387607,0.7806288398988074,0.0184
backdoor,1e-65,0.9807493936842105,2152,845,348,0.8608,0.7180513847180514,0.7829725304711661,0.017789473684210525
backdoor,1e-66,0.9807493936842105,2148,813,352,0.8592,0.7254305977710233,0.7866691082219374,0.01711578947368421
backdoor,1e-67,0.9807493936842105,2138,783,362,0.8552,0.7319411160561452,0.788784357129681,0.01648421052631579
backdoor,1e-68,0.9807493936842105,2129,749,371,0.8516,0.7397498262682418,0.7917441428040163,0.015768421052631577
backdoor,1e-69,0.9807493936842105,2121,721,379,0.8484,0.7463054187192119,0.7940846125046799,0.015178947368421052
backdoor,1e-70,0.9807493936842105,2116,701,384,0.8464,0.7511537096201633,0.7959375587737445,0.014757894736842105
backdoor,1e-71,0.9807493936842105,2106,679,394,0.8424,0.756193895870736,0.7969725638599812,0.014294736842105263
backdoor,1e-72,0.9807493936842105,2097,649,403,0.8388,0.7636562272396212,0.7994662600076248,0.013663157894736842
backdoor,1e-73,0.9807493936842105,2092,629,408,0.8368,0.768834987137082,0.8013790461597394,0.013242105263157895
backdoor,1e-74,0.9807493936842105,2085,613,415,0.834,0.7727946627131208,0.8022316275490573,0.012905263157894737
backdoor,1e-75,0.9807493936842105,2079,597,421,0.8316,0.7769058295964125,0.8033230293663061,0.01256842105263158
backdoor,1e-76,0.9807493936842105,2073,564,427,0.8292,0.7861205915813424,0.8070858477710726,0.011873684210526316
backdoor,1e-77,0.9807493936842105,2064,548,436,0.8256,0.7901990811638591,0.8075117370892018,0.011536842105263158
backdoor,1e-78,0.9807493936842105,2055,526,445,0.822,0.7962030220844634,0.8088958866364887,0.011073684210526315
backdoor,1e-79,0.9807493936842105,2050,515,450,0.82,0.7992202729044834,0.8094768015794669,0.010842105263157894
backdoor,1e-80,0.9807493936842105,2045,497,455,0.818,0.8044846577498033,0.811186037286791,0.010463157894736843
backdoor,1e-81,0.9807493936842105,2039,481,461,0.8156,0.8091269841269841,0.8123505976095617,0.010126315789473685
backdoor,1e-82,0.9807493936842105,2035,468,465,0.814,0.8130243707550939,0.8135118928642815,0.009852631578947368
backdoor,1e-83,0.9807493936842105,2026,457,474,0.8104,0.8159484494563028,0.8131647601846277,0.009621052631578947
backdoor,1e-84,0.9807493936842105,2017,444,483,0.8068,0.819585534335636,0.8131425115904051,0.009347368421052632
backdoor,1e-85,0.9807493936842105,2014,431,486,0.8056,0.8237218813905931,0.8145601617795754,0.009073684210526315
backdoor,1e-86,0.9807493936842105,2006,419,494,0.8024,0.8272164948453609,0.8146192893401015,0.008821052631578948
backdoor,1e-87,0.9807493936842105,1998,403,502,0.7992,0.8321532694710537,0.8153438073862477,0.00848421052631579
backdoor,1e-88,0.9807493936842105,1992,390,508,0.7968,0.836272040302267,0.8160589922163047,0.008210526315789474
backdoor,1e-89,0.9807493936842105,1987,383,513,0.7948,0.8383966244725738,0.8160164271047228,0.008063157894736842
backdoor,1e-90,0.9807493936842105,1983,365,517,0.7932,0.8445485519591142,0.818069306930693,0.007684210526315789
backdoor,1e-91,0.9807493936842105,1977,343,523,0.7908,0.8521551724137931,0.8203319502074687,0.0072210526315789475
backdoor,1e-92,0.9807493936842105,1966,332,534,0.7864,0.855526544821584,0.8195081283868277,0.006989473684210526
backdoor,1e-93,0.9807493936842105,1959,320,541,0.7836,0.8595875383940325,0.8198367859384807,0.006736842105263158
backdoor,1e-94,0.9807493936842105,1948,300,552,0.7792,0.8665480427046264,0.8205560235888796,0.00631578947368421
backdoor,1e-95,0.9807493936842105,1938,290,562,0.7752,0.86983842010772,0.8197969543147208,0.006105263157894737
backdoor,1e-96,0.9807493936842105,1933,285,567,0.7732,0.8715058611361587,0.8194150063586265,0.006
backdoor,1e-97,0.9807493936842105,1925,273,575,0.77,0.8757961783439491,0.8194976585781183,0.005747368421052631
backdoor,1e-98,0.9807493936842105,1920,263,580,0.768,0.8795235913879982,0.8199871877001922,0.005536842105263158
backdoor,1e-99,0.9807493936842105,1910,260,590,0.764,0.880184331797235,0.8179871520342611,0.0054736842105263155
backdoor,1e-100,0.9807493936842105,1904,250,596,0.7616,0.8839368616527391,0.8182208852599914,0.005263157894736842
backdoor_all2all,1.0,0.6204595789473685,2133,37265,367,0.8532,0.05413980405096706,0.10181870256336818,0.7845263157894737
backdoor_all2all,0.1,0.6204595789473685,1833,28954,667,0.7332,0.059538116737584044,0.11013308498813351,0.6095578947368421
backdoor_all2all,0.01,0.6204595789473685,1651,25014,849,0.6604,0.06191636977311082,0.11321789816560947,0.5266105263157895
backdoor_all2all,0.001,0.6204595789473685,1527,21965,973,0.6108,0.0650008513536523,0.11749769159741458,0.46242105263157895
backdoor_all2all,0.0001,0.6204595789473685,1409,19384,1091,0.5636,0.06776318953493965,0.12098055209719659,0.40808421052631577
backdoor_all2all,1e-05,0.6204595789473685,1309,17182,1191,0.5236,0.07079119571683522,0.12472011814587203,0.3617263157894737
backdoor_all2all,1e-06,0.6204595789473685,1221,15262,1279,0.4884,0.07407632105805982,0.1286414160037929,0.32130526315789476
backdoor_all2all,1e-07,0.6204595789473685,1154,13570,1346,0.4616,0.07837544145612606,0.13399907106363215,0.28568421052631576
backdoor_all2all,1e-08,0.6204595789473685,1076,12092,1424,0.4304,0.08171324422843257,0.13735001276487105,0.25456842105263155
backdoor_all2all,1e-09,0.6204595789473685,1023,10756,1477,0.4092,0.08684947788437049,0.14328734505217453,0.2264421052631579
backdoor_all2all,1e-10,0.6204595789473685,970,9584,1530,0.388,0.09190828122039037,0.14861345181553548,0.20176842105263157
backdoor_all2all,1e-11,0.6204595789473685,905,8568,1595,0.362,0.09553467750448644,0.15117347364904368,0.18037894736842106
backdoor_all2all,1e-12,0.6204595789473685,854,7676,1646,0.3416,0.10011723329425556,0.15485040797824115,0.1616
backdoor_all2all,1e-13,0.6204595789473685,820,6857,1680,0.328,0.10681255698840693,0.16114768595853396,0.1443578947368421
