POI_METHOD,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
badnets,1e-29,0.9057742947368421,1363,2353,1137,0.5452,0.3667922497308934,0.43854568854568854,0.04953684210526316
badnets,1e-30,0.9057742947368421,1305,2197,1195,0.522,0.3726442033123929,0.4348550483172276,0.04625263157894737
badnets,1e-31,0.9057742947368421,1261,2034,1239,0.5044,0.382701062215478,0.43520276100086275,0.04282105263157895
badnets,1e-32,0.9057742947368421,1224,1883,1276,0.4896,0.3939491470872224,0.43659711075441415,0.039642105263157895
badnets,1e-33,0.9057742947368421,1187,1748,1313,0.4748,0.40442930153321976,0.43679852805887764,0.0368
badnets,1e-34,0.9057742947368421,1146,1613,1354,0.4584,0.4153678869155491,0.4358243011979464,0.033957894736842104
badnets,1e-35,0.9057742947368421,1112,1498,1388,0.4448,0.42605363984674327,0.4352250489236791,0.031536842105263155
badnets,1e-36,0.9057742947368421,1076,1395,1424,0.4304,0.43545123431808985,0.43291088312210824,0.02936842105263158
badnets,1e-37,0.9057742947368421,1036,1276,1464,0.4144,0.44809688581314877,0.43059019118869496,0.026863157894736842
badnets,1e-38,0.9057742947368421,1005,1167,1495,0.402,0.462707182320442,0.4302226027397261,0.02456842105263158
badnets,1e-39,0.9057742947368421,961,1084,1539,0.3844,0.4699266503667482,0.42288228822882296,0.022821052631578947
badnets,1e-40,0.9057742947368421,930,995,1570,0.372,0.4831168831168831,0.42033898305084744,0.02094736842105263
badnets,1e-41,0.9057742947368421,891,928,1609,0.3564,0.48982957669048927,0.4125955082194952,0.019536842105263158
badnets,1e-42,0.9057742947368421,855,865,1645,0.342,0.49709302325581395,0.40521327014218006,0.018210526315789472
badnets,1e-43,0.9057742947368421,826,803,1674,0.3304,0.5070595457335789,0.4000968757568419,0.016905263157894736
badnets,1e-44,0.9057742947368421,795,735,1705,0.318,0.5196078431372549,0.3945409429280397,0.015473684210526317
badnets,1e-45,0.9057742947368421,760,681,1740,0.304,0.527411519777932,0.385688911443796,0.014336842105263158
badnets,1e-46,0.9057742947368421,728,629,1772,0.2912,0.5364775239498895,0.37749546279491836,0.013242105263157895
badnets,1e-47,0.9057742947368421,694,578,1806,0.2776,0.5455974842767296,0.36797454931071055,0.012168421052631578
badnets,1e-48,0.9057742947368421,662,536,1838,0.2648,0.5525876460767947,0.35803136830719307,0.011284210526315789
badnets,1e-49,0.9057742947368421,634,490,1866,0.2536,0.5640569395017794,0.34988962472406177,0.01031578947368421
badnets,1e-50,0.9057742947368421,615,450,1885,0.246,0.5774647887323944,0.34502103786816274,0.009473684210526316
badnets,1e-51,0.9057742947368421,579,409,1921,0.2316,0.5860323886639676,0.3319954128440367,0.008610526315789473
badnets,1e-52,0.9057742947368421,554,376,1946,0.2216,0.5956989247311828,0.32303206997084544,0.007915789473684211
badnets,1e-53,0.9057742947368421,531,353,1969,0.2124,0.6006787330316742,0.3138297872340426,0.007431578947368421
badnets,1e-54,0.9057742947368421,506,316,1994,0.2024,0.6155717761557178,0.304635761589404,0.006652631578947368
badnets,1e-55,0.9057742947368421,482,297,2018,0.1928,0.6187419768934531,0.29399207075327843,0.006252631578947368
badnets,1e-56,0.9057742947368421,460,280,2040,0.184,0.6216216216216216,0.2839506172839506,0.005894736842105263
badnets,1e-57,0.9057742947368421,443,252,2057,0.1772,0.637410071942446,0.27730829420970265,0.0053052631578947365
badnets,1e-58,0.9057742947368421,428,234,2072,0.1712,0.6465256797583081,0.27071473750790637,0.004926315789473684
badnets,1e-59,0.9057742947368421,409,212,2091,0.1636,0.6586151368760065,0.2620954822172381,0.0044631578947368425
badnets,1e-60,0.9057742947368421,392,202,2108,0.1568,0.6599326599326599,0.25339366515837103,0.004252631578947368
badnets,1e-61,0.9057742947368421,368,190,2132,0.1472,0.6594982078853047,0.24068018312622627,0.004
badnets,1e-62,0.9057742947368421,339,179,2161,0.1356,0.6544401544401545,0.22465208747514911,0.003768421052631579
badnets,1e-63,0.9057742947368421,323,168,2177,0.1292,0.6578411405295316,0.21598127716482782,0.003536842105263158
badnets,1e-64,0.9057742947368421,312,161,2188,0.1248,0.6596194503171248,0.20988900100908173,0.0033894736842105264
badnets,1e-65,0.9057742947368421,299,155,2201,0.1196,0.6585903083700441,0.20243737305348677,0.003263157894736842
badnets,1e-66,0.9057742947368421,288,145,2212,0.1152,0.6651270207852193,0.19638595294919875,0.0030526315789473684
badnets,1e-67,0.9057742947368421,273,138,2227,0.1092,0.6642335766423357,0.18756441085537617,0.0029052631578947367
badnets,1e-68,0.9057742947368421,255,125,2245,0.102,0.6710526315789473,0.17708333333333331,0.002631578947368421
badnets,1e-69,0.9057742947368421,244,115,2256,0.0976,0.6796657381615598,0.1706890521161245,0.0024210526315789475
badnets,1e-70,0.9057742947368421,233,107,2267,0.0932,0.6852941176470588,0.16408450704225352,0.0022526315789473685
badnets,1e-71,0.9057742947368421,217,102,2283,0.0868,0.6802507836990596,0.15395530329904222,0.0021473684210526318
badnets,1e-72,0.9057742947368421,208,95,2292,0.0832,0.6864686468646864,0.14841241526935425,0.002
badnets,1e-73,0.9057742947368421,197,91,2303,0.0788,0.6840277777777778,0.14131994261119082,0.0019157894736842106
badnets,1e-74,0.9057742947368421,188,87,2312,0.0752,0.6836363636363636,0.1354954954954955,0.001831578947368421
badnets,1e-75,0.9057742947368421,178,83,2322,0.0712,0.6819923371647509,0.12893879029337196,0.0017473684210526316
badnets,1e-76,0.9057742947368421,171,81,2329,0.0684,0.6785714285714286,0.1242732558139535,0.0017052631578947368
badnets,1e-77,0.9057742947368421,162,75,2338,0.0648,0.6835443037974683,0.11837778589696749,0.0015789473684210526
badnets,1e-78,0.9057742947368421,150,73,2350,0.06,0.672645739910314,0.11017260374586853,0.0015368421052631579
badnets,1e-79,0.9057742947368421,144,69,2356,0.0576,0.676056338028169,0.1061555473645411,0.0014526315789473684
badnets,1e-80,0.9057742947368421,136,63,2364,0.0544,0.6834170854271356,0.10077806595035198,0.0013263157894736841
badnets,1e-81,0.9057742947368421,133,60,2367,0.0532,0.689119170984456,0.09877460081693278,0.0012631578947368421
badnets,1e-82,0.9057742947368421,127,57,2373,0.0508,0.6902173913043478,0.09463487332339791,0.0012
badnets,1e-83,0.9057742947368421,118,57,2382,0.0472,0.6742857142857143,0.08822429906542055,0.0012
badnets,1e-84,0.9057742947368421,114,55,2386,0.0456,0.6745562130177515,0.08542525290370925,0.0011578947368421054
badnets,1e-85,0.9057742947368421,104,51,2396,0.0416,0.6709677419354839,0.07834274952919021,0.0010736842105263159
badnets,1e-86,0.9057742947368421,101,50,2399,0.0404,0.6688741721854304,0.07619766125990192,0.0010526315789473684
badnets,1e-87,0.9057742947368421,94,47,2406,0.0376,0.6666666666666666,0.07118515713744794,0.0009894736842105264
badnets,1e-88,0.9057742947368421,91,45,2409,0.0364,0.6691176470588235,0.06904400606980274,0.0009473684210526315
badnets,1e-89,0.9057742947368421,85,45,2415,0.034,0.6538461538461539,0.06463878326996197,0.0009473684210526315
badnets,1e-90,0.9057742947368421,83,43,2417,0.0332,0.6587301587301587,0.06321401370906321,0.0009052631578947368
badnets,1e-91,0.9057742947368421,80,41,2420,0.032,0.6611570247933884,0.061045402518122856,0.0008631578947368422
badnets,1e-92,0.9057742947368421,76,38,2424,0.0304,0.6666666666666666,0.05814843152257077,0.0008
badnets,1e-93,0.9057742947368421,74,36,2426,0.0296,0.6727272727272727,0.05670498084291188,0.0007578947368421053
badnets,1e-94,0.9057742947368421,72,35,2428,0.0288,0.6728971962616822,0.05523590333716916,0.0007368421052631579
badnets,1e-95,0.9057742947368421,69,34,2431,0.0276,0.6699029126213593,0.053015751056473305,0.0007157894736842105
badnets,1e-96,0.9057742947368421,64,34,2436,0.0256,0.6530612244897959,0.04926866820631255,0.0007157894736842105
badnets,1e-97,0.9057742947368421,63,32,2437,0.0252,0.6631578947368421,0.04855491329479769,0.0006736842105263158
badnets,1e-98,0.9057742947368421,61,31,2439,0.0244,0.6630434782608695,0.04706790123456791,0.0006526315789473684
badnets,1e-99,0.9057742947368421,59,31,2441,0.0236,0.6555555555555556,0.04555984555984556,0.0006526315789473684
badnets,1e-100,0.9057742947368421,58,31,2442,0.0232,0.651685393258427,0.044804943993820005,0.0006526315789473684
clean_label_narcissus,1.0,0.7954713567839196,248,39015,2,0.992,0.006316379288388559,0.012552830713942247,0.7842211055276382
clean_label_narcissus,0.1,0.7954713567839196,242,31477,8,0.968,0.007629496516283615,0.015139666551972223,0.6327035175879397
clean_label_narcissus,0.01,0.7954713567839196,233,27801,17,0.932,0.008311336234572305,0.016475746004808372,0.5588140703517588
clean_label_narcissus,0.001,0.7954713567839196,222,24928,28,0.888,0.00882703777335984,0.017480314960629923,0.5010653266331658
clean_label_narcissus,0.0001,0.7954713567839196,221,22385,29,0.884,0.00977616561974697,0.01933846692334617,0.44994974874371857
clean_label_narcissus,1e-05,0.7954713567839196,210,20262,40,0.84,0.010257913247362251,0.02026831386931763,0.40727638190954774
clean_label_narcissus,1e-06,0.7954713567839196,203,18321,47,0.812,0.010958756208162383,0.021625652498135722,0.3682613065326633
clean_label_narcissus,1e-07,0.7954713567839196,194,16565,56,0.776,0.01157586968196193,0.02281145276030337,0.332964824120603
clean_label_narcissus,1e-08,0.7954713567839196,185,15085,65,0.74,0.012115258677144728,0.02384020618556701,0.30321608040201004
clean_label_narcissus,1e-09,0.7954713567839196,176,13624,74,0.704,0.012753623188405797,0.025053380782918147,0.27384924623115575
clean_label_narcissus,1e-10,0.7954713567839196,167,12288,83,0.668,0.013408269771176234,0.026288862652499016,0.24699497487437186
clean_label_narcissus,1e-11,0.7954713567839196,156,11123,94,0.624,0.013831013387711677,0.02706219099661723,0.2235778894472362
clean_label_narcissus,1e-12,0.7954713567839196,152,10095,98,0.608,0.01483360983702547,0.02896065542535963,0.2029145728643216
clean_label_narcissus,1e-13,0.7954713567839196,145,9123,105,0.58,0.015645230902028486,0.030468585837360788,0.18337688442211056
clean_label_narcissus,1e-14,0.7954713567839196,132,8285,118,0.528,0.015682547225852442,0.030460366908965034,0.16653266331658292
clean_label_narcissus,1e-15,0.7954713567839196,123,7517,127,0.492,0.016099476439790577,0.031178707224334603,0.15109547738693468
clean_label_narcissus,1e-16,0.7954713567839196,117,6799,133,0.468,0.016917293233082706,0.032654200390734016,0.13666331658291458
clean_label_narcissus,1e-17,0.7954713567839196,110,6149,140,0.44,0.01757469244288225,0.03379935473959134,0.12359798994974874
clean_label_narcissus,1e-18,0.7954713567839196,107,5603,143,0.428,0.018739054290718038,0.035906040268456375,0.11262311557788944
clean_label_narcissus,1e-19,0.7954713567839196,101,5107,149,0.404,0.019393241167434717,0.03700989373396849,0.10265326633165829
clean_label_narcissus,1e-20,0.7954713567839196,98,4665,152,0.392,0.02057526768843166,0.0390983443048075,0.09376884422110553
clean_label_narcissus,1e-21,0.7954713567839196,94,4216,156,0.376,0.021809744779582366,0.04122807017543859,0.08474371859296483
clean_label_narcissus,1e-22,0.7954713567839196,88,3828,162,0.352,0.02247191011235955,0.04224675948151704,0.07694472361809045
clean_label_narcissus,1e-23,0.7954713567839196,80,3479,170,0.32,0.022478224220286596,0.042005775794171696,0.06992964824120602
clean_label_narcissus,1e-24,0.7954713567839196,77,3140,173,0.308,0.02393534348772148,0.04441880588404961,0.06311557788944723
clean_label_narcissus,1e-25,0.7954713567839196,67,2827,183,0.268,0.023151347615756736,0.042620865139949116,0.056824120603015074
clean_label_narcissus,1e-26,0.7954713567839196,61,2585,189,0.244,0.02305366591080877,0.04212707182320443,0.051959798994974875
clean_label_narcissus,1e-27,0.7954713567839196,56,2338,194,0.224,0.023391812865497075,0.04236006051437216,0.04699497487437186
clean_label_narcissus,1e-28,0.7954713567839196,52,2117,198,0.208,0.0239741816505302,0.04299297230260438,0.04255276381909548
clean_label_narcissus,1e-29,0.7954713567839196,52,1933,198,0.208,0.02619647355163728,0.046532438478747204,0.03885427135678392
clean_label_narcissus,1e-30,0.7954713567839196,47,1759,203,0.188,0.02602436323366556,0.04571984435797666,0.03535678391959799
clean_label_narcissus,1e-31,0.7954713567839196,43,1601,207,0.172,0.026155717761557177,0.0454065469904963,0.03218090452261307
clean_label_narcissus,1e-32,0.7954713567839196,37,1451,213,0.148,0.02486559139784946,0.042577675489067886,0.02916582914572864
clean_label_narcissus,1e-33,0.7954713567839196,33,1314,217,0.132,0.024498886414253896,0.04132748904195366,0.02641206030150754
clean_label_narcissus,1e-34,0.7954713567839196,32,1190,218,0.128,0.02618657937806874,0.04347826086956522,0.023919597989949748
clean_label_narcissus,1e-35,0.7954713567839196,30,1080,220,0.12,0.02702702702702703,0.04411764705882353,0.021708542713567838
clean_label_narcissus,1e-36,0.7954713567839196,28,974,222,0.112,0.027944111776447105,0.04472843450479233,0.01957788944723618
clean_label_narcissus,1e-37,0.7954713567839196,25,893,225,0.1,0.027233115468409588,0.04280821917808219,0.01794974874371859
clean_label_narcissus,1e-38,0.7954713567839196,23,815,227,0.092,0.027446300715990454,0.042279411764705885,0.016381909547738695
clean_label_narcissus,1e-39,0.7954713567839196,22,749,228,0.088,0.028534370946822308,0.043095004897159644,0.015055276381909549
clean_label_narcissus,1e-40,0.7954713567839196,20,686,230,0.08,0.028328611898016998,0.041841004184100423,0.01378894472361809
clean_label_narcissus,1e-41,0.7954713567839196,18,645,232,0.072,0.027149321266968326,0.03943044906900329,0.012964824120603015
clean_label_narcissus,1e-42,0.7954713567839196,18,596,232,0.072,0.029315960912052116,0.041666666666666664,0.011979899497487437
clean_label_narcissus,1e-43,0.7954713567839196,16,540,234,0.064,0.02877697841726619,0.03970223325062035,0.010854271356783919
clean_label_narcissus,1e-44,0.7954713567839196,13,478,237,0.052,0.026476578411405296,0.03508771929824561,0.009608040201005025
clean_label_narcissus,1e-45,0.7954713567839196,10,439,240,0.04,0.022271714922048998,0.02861230329041488,0.008824120603015075
clean_label_narcissus,1e-46,0.7954713567839196,9,403,241,0.036,0.021844660194174758,0.027190332326283987,0.008100502512562814
clean_label_narcissus,1e-47,0.7954713567839196,9,373,241,0.036,0.02356020942408377,0.028481012658227844,0.0074974874371859295
clean_label_narcissus,1e-48,0.7954713567839196,9,344,241,0.036,0.025495750708215296,0.029850746268656716,0.006914572864321608
clean_label_narcissus,1e-49,0.7954713567839196,9,315,241,0.036,0.027777777777777776,0.0313588850174216,0.006331658291457287
clean_label_narcissus,1e-50,0.7954713567839196,9,287,241,0.036,0.030405405405405407,0.03296703296703297,0.0057688442211055275
clean_label_narcissus,1e-51,0.7954713567839196,9,264,241,0.036,0.03296703296703297,0.03441682600382409,0.005306532663316583
clean_label_narcissus,1e-52,0.7954713567839196,9,241,241,0.036,0.036,0.036,0.004844221105527638
clean_label_narcissus,1e-53,0.7954713567839196,9,225,241,0.036,0.038461538461538464,0.03719008264462809,0.004522613065326633
clean_label_narcissus,1e-54,0.7954713567839196,9,205,241,0.036,0.04205607476635514,0.03879310344827586,0.004120603015075377
clean_label_narcissus,1e-55,0.7954713567839196,9,183,241,0.036,0.046875,0.04072398190045248,0.003678391959798995
clean_label_narcissus,1e-56,0.7954713567839196,9,163,241,0.036,0.05232558139534884,0.042654028436018954,0.003276381909547739
clean_label_narcissus,1e-57,0.7954713567839196,9,149,241,0.036,0.056962025316455694,0.044117647058823525,0.0029949748743718593
clean_label_narcissus,1e-58,0.7954713567839196,8,139,242,0.032,0.05442176870748299,0.04030226700251889,0.002793969849246231
clean_label_narcissus,1e-59,0.7954713567839196,8,132,242,0.032,0.05714285714285714,0.041025641025641026,0.0026532663316582916
clean_label_narcissus,1e-60,0.7954713567839196,8,128,242,0.032,0.058823529411764705,0.04145077720207254,0.0025728643216080403
clean_label_narcissus,1e-61,0.7954713567839196,8,121,242,0.032,0.06201550387596899,0.04221635883905013,0.0024321608040201005
clean_label_narcissus,1e-62,0.7954713567839196,7,107,243,0.028,0.06140350877192982,0.038461538461538464,0.002150753768844221
clean_label_narcissus,1e-63,0.7954713567839196,6,101,244,0.024,0.056074766355140186,0.03361344537815126,0.0020301507537688443
clean_label_narcissus,1e-64,0.7954713567839196,5,94,245,0.02,0.050505050505050504,0.02865329512893983,0.0018894472361809045
clean_label_narcissus,1e-65,0.7954713567839196,5,86,245,0.02,0.054945054945054944,0.029325513196480937,0.001728643216080402
clean_label_narcissus,1e-66,0.7954713567839196,5,80,245,0.02,0.058823529411764705,0.02985074626865672,0.0016080402010050252
clean_label_narcissus,1e-67,0.7954713567839196,4,76,246,0.016,0.05,0.024242424242424242,0.001527638190954774
clean_label_narcissus,1e-68,0.7954713567839196,4,73,246,0.016,0.05194805194805195,0.024464831804281346,0.0014673366834170854
clean_label_narcissus,1e-69,0.7954713567839196,4,73,246,0.016,0.05194805194805195,0.024464831804281346,0.0014673366834170854
clean_label_narcissus,1e-70,0.7954713567839196,4,72,246,0.016,0.05263157894736842,0.024539877300613498,0.0014472361809045227
clean_label_narcissus,1e-71,0.7954713567839196,3,69,247,0.012,0.041666666666666664,0.018633540372670808,0.0013869346733668341
clean_label_narcissus,1e-72,0.7954713567839196,3,65,247,0.012,0.04411764705882353,0.018867924528301886,0.0013065326633165829
clean_label_narcissus,1e-73,0.7954713567839196,3,62,247,0.012,0.046153846153846156,0.01904761904761905,0.0012462311557788945
clean_label_narcissus,1e-74,0.7954713567839196,3,59,247,0.012,0.04838709677419355,0.019230769230769232,0.001185929648241206
clean_label_narcissus,1e-75,0.7954713567839196,3,51,247,0.012,0.05555555555555555,0.01973684210526316,0.0010251256281407035
clean_label_narcissus,1e-76,0.7954713567839196,3,50,247,0.012,0.05660377358490566,0.019801980198019806,0.0010050251256281408
clean_label_narcissus,1e-77,0.7954713567839196,3,50,247,0.012,0.05660377358490566,0.019801980198019806,0.0010050251256281408
clean_label_narcissus,1e-78,0.7954713567839196,3,49,247,0.012,0.057692307692307696,0.019867549668874173,0.0009849246231155779
clean_label_narcissus,1e-79,0.7954713567839196,3,48,247,0.012,0.058823529411764705,0.01993355481727575,0.0009648241206030151
clean_label_narcissus,1e-80,0.7954713567839196,3,47,247,0.012,0.06,0.02,0.0009447236180904523
clean_label_narcissus,1e-81,0.7954713567839196,3,46,247,0.012,0.061224489795918366,0.020066889632107024,0.0009246231155778894
clean_label_narcissus,1e-82,0.7954713567839196,3,46,247,0.012,0.061224489795918366,0.020066889632107024,0.0009246231155778894
clean_label_narcissus,1e-83,0.7954713567839196,3,45,247,0.012,0.0625,0.020134228187919465,0.0009045226130653266
clean_label_narcissus,1e-84,0.7954713567839196,3,45,247,0.012,0.0625,0.020134228187919465,0.0009045226130653266
clean_label_narcissus,1e-85,0.7954713567839196,3,43,247,0.012,0.06521739130434782,0.02027027027027027,0.000864321608040201
clean_label_narcissus,1e-86,0.7954713567839196,3,39,247,0.012,0.07142857142857142,0.020547945205479454,0.0007839195979899498
clean_label_narcissus,1e-87,0.7954713567839196,3,39,247,0.012,0.07142857142857142,0.020547945205479454,0.0007839195979899498
clean_label_narcissus,1e-88,0.7954713567839196,2,38,248,0.008,0.05,0.013793103448275862,0.000763819095477387
clean_label_narcissus,1e-89,0.7954713567839196,1,37,249,0.004,0.02631578947368421,0.006944444444444444,0.0007437185929648241
clean_label_narcissus,1e-90,0.7954713567839196,1,36,249,0.004,0.02702702702702703,0.006968641114982579,0.0007236180904522613
clean_label_narcissus,1e-91,0.7954713567839196,1,35,249,0.004,0.027777777777777776,0.006993006993006992,0.0007035175879396985
clean_label_narcissus,1e-92,0.7954713567839196,1,33,249,0.004,0.029411764705882353,0.007042253521126762,0.0006633165829145729
clean_label_narcissus,1e-93,0.7954713567839196,1,33,249,0.004,0.029411764705882353,0.007042253521126762,0.0006633165829145729
clean_label_narcissus,1e-94,0.7954713567839196,1,33,249,0.004,0.029411764705882353,0.007042253521126762,0.0006633165829145729
clean_label_narcissus,1e-95,0.7954713567839196,0,33,250,0.0,0.0,0.0,0.0006633165829145729
clean_label_narcissus,1e-96,0.7954713567839196,0,33,250,0.0,0.0,0.0,0.0006633165829145729
clean_label_narcissus,1e-97,0.7954713567839196,0,33,250,0.0,0.0,0.0,0.0006633165829145729
clean_label_narcissus,1e-98,0.7954713567839196,0,29,250,0.0,0.0,0.0,0.0005829145728643216
clean_label_narcissus,1e-99,0.7954713567839196,0,29,250,0.0,0.0,0.0,0.0005829145728643216
clean_label_narcissus,1e-100,0.7954713567839196,0,29,250,0.0,0.0,0.0,0.0005829145728643216
ctrl,1.0,0.69433583919598,238,39151,12,0.952,0.006042296072507553,0.012008375589697015,0.7869547738693468
ctrl,0.1,0.69433583919598,222,32622,28,0.888,0.006759225429302155,0.013416329243971716,0.6557185929648242
ctrl,0.01,0.69433583919598,218,29531,32,0.872,0.007327977411005412,0.014533817793926465,0.5935879396984924
ctrl,0.001,0.69433583919598,203,27165,47,0.812,0.007417421806489331,0.014700557607357521,0.5460301507537688
ctrl,0.0001,0.69433583919598,191,25091,59,0.764,0.007554782058381457,0.014961616794610685,0.5043417085427135
ctrl,1e-05,0.69433583919598,185,23259,65,0.74,0.00789114485582665,0.015615767704904193,0.4675175879396985
ctrl,1e-06,0.69433583919598,179,21625,71,0.716,0.008209502843514951,0.016232882923732657,0.43467336683417085
ctrl,1e-07,0.69433583919598,173,20111,77,0.692,0.008528889765332281,0.016850102269406836,0.40424120603015073
ctrl,1e-08,0.69433583919598,168,18714,82,0.672,0.008897362567524627,0.017562199456408113,0.3761608040201005
ctrl,1e-09,0.69433583919598,162,17477,88,0.648,0.00918419411531266,0.01811168874727486,0.3512964824120603
ctrl,1e-10,0.69433583919598,155,16354,95,0.62,0.00938881822036465,0.018497523718598963,0.32872361809045225
ctrl,1e-11,0.69433583919598,151,15238,99,0.604,0.009812203521996231,0.01931069761493702,0.30629145728643214
ctrl,1e-12,0.69433583919598,147,14188,103,0.588,0.010254621555633066,0.020157696263284196,0.2851859296482412
ctrl,1e-13,0.69433583919598,140,13276,110,0.56,0.010435301132975552,0.02048880433191863,0.2668542713567839
ctrl,1e-14,0.69433583919598,126,12417,124,0.504,0.010045443673762257,0.01969827249276948,0.24958793969849247
ctrl,1e-15,0.69433583919598,118,11619,132,0.472,0.0100536764079407,0.019687995328272295,0.23354773869346734
ctrl,1e-16,0.69433583919598,115,10873,135,0.46,0.01046596286858391,0.020466275137924896,0.21855276381909547
ctrl,1e-17,0.69433583919598,106,10183,144,0.424,0.010302264554378462,0.020115760508587155,0.20468341708542714
ctrl,1e-18,0.69433583919598,102,9542,148,0.408,0.010576524263790958,0.020618556701030927,0.19179899497487438
ctrl,1e-19,0.69433583919598,97,8905,153,0.388,0.010775383248167073,0.020968439256376998,0.17899497487437185
ctrl,1e-20,0.69433583919598,91,8357,159,0.364,0.010771780303030304,0.02092435042538515,0.16797989949748743
ctrl,1e-21,0.69433583919598,87,7837,163,0.348,0.010979303382130236,0.02128700758502569,0.15752763819095478
ctrl,1e-22,0.69433583919598,78,7354,172,0.312,0.010495156081808395,0.02030721166362926,0.14781909547738695
ctrl,1e-23,0.69433583919598,75,6894,175,0.3,0.01076194575979337,0.0207785011774484,0.13857286432160804
ctrl,1e-24,0.69433583919598,73,6442,177,0.292,0.011204911742133538,0.021581670362158165,0.12948743718592964
ctrl,1e-25,0.69433583919598,71,5997,179,0.284,0.011700725115359262,0.02247546691991137,0.1205427135678392
ctrl,1e-26,0.69433583919598,68,5643,182,0.272,0.011906846436701103,0.022814963932226137,0.11342713567839197
ctrl,1e-27,0.69433583919598,65,5304,185,0.26,0.012106537530266344,0.02313578928634988,0.10661306532663317
ctrl,1e-28,0.69433583919598,61,4953,189,0.244,0.012165935380933387,0.023176291793313066,0.09955778894472361
ctrl,1e-29,0.69433583919598,58,4638,192,0.232,0.012350936967632026,0.023453295592397894,0.09322613065326633
ctrl,1e-30,0.69433583919598,54,4341,196,0.216,0.012286689419795221,0.0232508073196986,0.08725628140703517
ctrl,1e-31,0.69433583919598,50,4066,200,0.2,0.012147716229348883,0.02290426019239579,0.08172864321608041
ctrl,1e-32,0.69433583919598,46,3811,204,0.184,0.011926367643246047,0.022400779157535914,0.07660301507537688
ctrl,1e-33,0.69433583919598,41,3574,209,0.164,0.011341632088520055,0.021216041397153947,0.0718391959798995
ctrl,1e-34,0.69433583919598,37,3319,213,0.148,0.01102502979737783,0.020521353300055462,0.06671356783919598
ctrl,1e-35,0.69433583919598,36,3103,214,0.144,0.011468620579802484,0.021245205075243433,0.06237185929648241
ctrl,1e-36,0.69433583919598,35,2898,215,0.14,0.011933174224343675,0.021991831605403706,0.05825125628140704
ctrl,1e-37,0.69433583919598,32,2715,218,0.128,0.011649071714597743,0.021354688021354686,0.05457286432160804
ctrl,1e-38,0.69433583919598,32,2520,218,0.128,0.012539184952978056,0.022840827980014272,0.05065326633165829
ctrl,1e-39,0.69433583919598,32,2334,218,0.128,0.013524936601859678,0.024464831804281342,0.04691457286432161
ctrl,1e-40,0.69433583919598,31,2171,219,0.124,0.01407811080835604,0.025285481239804244,0.04363819095477387
ctrl,1e-41,0.69433583919598,30,2031,220,0.12,0.01455604075691412,0.025962786672436174,0.040824120603015074
ctrl,1e-42,0.69433583919598,28,1876,222,0.112,0.014705882352941176,0.025998142989786446,0.03770854271356784
ctrl,1e-43,0.69433583919598,26,1760,224,0.104,0.014557670772676373,0.025540275049115914,0.03537688442211055
ctrl,1e-44,0.69433583919598,24,1631,226,0.096,0.014501510574018127,0.025196850393700787,0.03278391959798995
ctrl,1e-45,0.69433583919598,20,1527,230,0.08,0.012928248222365869,0.022259321090706736,0.030693467336683416
ctrl,1e-46,0.69433583919598,19,1425,231,0.076,0.013157894736842105,0.022432113341204252,0.02864321608040201
ctrl,1e-47,0.69433583919598,16,1314,234,0.064,0.012030075187969926,0.02025316455696203,0.02641206030150754
ctrl,1e-48,0.69433583919598,16,1224,234,0.064,0.012903225806451613,0.021476510067114093,0.024603015075376884
ctrl,1e-49,0.69433583919598,14,1159,236,0.056,0.011935208866155157,0.019676739283204497,0.023296482412060303
ctrl,1e-50,0.69433583919598,12,1077,238,0.048,0.011019283746556474,0.017923823749066467,0.02164824120603015
ctrl,1e-51,0.69433583919598,12,1001,238,0.048,0.011846001974333662,0.01900237529691211,0.020120603015075376
ctrl,1e-52,0.69433583919598,12,936,238,0.048,0.012658227848101266,0.020033388981636063,0.018814070351758794
ctrl,1e-53,0.69433583919598,12,857,238,0.048,0.01380897583429229,0.021447721179624665,0.017226130653266333
ctrl,1e-54,0.69433583919598,11,805,239,0.044,0.013480392156862746,0.020637898686679174,0.016180904522613067
ctrl,1e-55,0.69433583919598,11,758,239,0.044,0.014304291287386216,0.02158979391560353,0.015236180904522613
ctrl,1e-56,0.69433583919598,11,707,239,0.044,0.01532033426183844,0.022727272727272728,0.014211055276381909
ctrl,1e-57,0.69433583919598,11,659,239,0.044,0.016417910447761194,0.023913043478260867,0.013246231155778894
ctrl,1e-58,0.69433583919598,10,622,240,0.04,0.015822784810126583,0.022675736961451247,0.01250251256281407
ctrl,1e-59,0.69433583919598,8,578,242,0.032,0.013651877133105802,0.019138755980861243,0.011618090452261306
ctrl,1e-60,0.69433583919598,7,550,243,0.028,0.012567324955116697,0.01734820322180917,0.011055276381909548
ctrl,1e-61,0.69433583919598,7,517,243,0.028,0.013358778625954198,0.01808785529715762,0.010391959798994975
ctrl,1e-62,0.69433583919598,6,474,244,0.024,0.0125,0.01643835616438356,0.009527638190954774
ctrl,1e-63,0.69433583919598,6,442,244,0.024,0.013392857142857142,0.017191977077363894,0.008884422110552764
ctrl,1e-64,0.69433583919598,6,420,244,0.024,0.014084507042253521,0.017751479289940825,0.008442211055276382
ctrl,1e-65,0.69433583919598,6,382,244,0.024,0.015463917525773196,0.018808777429467086,0.007678391959798995
