POI_METHOD,Threshold,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
noisy_all2one,1.2,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.3,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.4,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.5,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.6,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.7,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.8,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,1.9,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
noisy_all2one,2.0,9.999999999999999e-51,0.0,0,0,0,0.0,0.0,0.0,0.0
badnets,1.0,1e-50,0.905774294736842,615,450,1885,0.246,0.5774647887323944,0.3450210378681627,0.0094736842105263
badnets,1.1,1e-50,0.8308893852631579,179,399,2321,0.0716,0.3096885813148789,0.1163092917478882,0.0084
badnets,1.2,1e-50,0.8765425136842104,490,1137,2010,0.196,0.3011677934849416,0.2374606251514417,0.0239368421052631
badnets,1.3,1e-50,0.418119827368421,32,1558,2468,0.0128,0.020125786163522,0.0156479217603911,0.0328
badnets,1.4,1e-50,0.6779767831578948,164,1056,2336,0.0656,0.1344262295081967,0.0881720430107527,0.0222315789473684
badnets,1.5,1e-50,0.5715112168421053,100,997,2400,0.04,0.0911577028258887,0.0556018904642757,0.0209894736842105
badnets,1.6,1e-50,0.4547260547368421,20,1520,2480,0.008,0.0129870129870129,0.0099009900990099,0.032
badnets,1.7,1e-50,0.6000043621052631,108,1350,2392,0.0432,0.074074074074074,0.0545730166750884,0.0284210526315789
badnets,1.8,1e-50,0.3136841431578947,2,1244,2498,0.0008,0.0016051364365971,0.0010678056593699,0.0261894736842105
badnets,1.9,1e-50,0.52724256,69,1041,2431,0.0276,0.0621621621621621,0.0382271468144044,0.0219157894736842
badnets,2.0,1e-50,0.46507816,37,1134,2463,0.0148,0.031596925704526,0.0201579950967038,0.0238736842105263
inputaware,1.0,1e-50,0.571484694736842,179,1298,2321,0.0716,0.1211916046039268,0.0900176012069399,0.0273263157894736
inputaware,1.1,1e-50,0.9121467663157896,1122,2590,1378,0.4488,0.3022629310344827,0.3612363168061815,0.0545263157894736
flipping_label,1.0,9.999999999999999e-51,0.2151373266331658,0,493,250,0.0,0.0,0.0,0.0099095477386934
flipping_label,1.1,9.999999999999999e-51,0.5635627336683418,8,1413,242,0.032,0.0056298381421534,0.0095751047277079,0.0284020100502512
flipping_label,1.2,9.999999999999999e-51,0.4900429346733668,8,1550,242,0.032,0.0051347881899871,0.0088495575221238,0.0311557788944723
flipping_label,1.3,9.999999999999999e-51,0.5002680603015075,1,774,249,0.004,0.0012903225806451,0.0019512195121951,0.0155577889447236
flipping_label,1.4,9.999999999999999e-51,0.4574978894472362,6,1309,244,0.024,0.0045627376425855,0.0076677316293929,0.0263115577889447
flipping_label,1.5,9.999999999999999e-51,0.6818505728643216,5,478,245,0.02,0.010351966873706,0.0136425648021828,0.009608040201005
flipping_label,1.6,9.999999999999999e-51,0.4923429949748744,1,988,249,0.004,0.0010111223458038,0.0016142050040355,0.019859296482412
flipping_label,1.7,9.999999999999999e-51,0.4456918190954774,1,811,249,0.004,0.001231527093596,0.0018832391713747,0.0163015075376884
flipping_label,1.8,9.999999999999999e-51,0.8234446633165828,66,1606,184,0.264,0.0394736842105263,0.068678459937565,0.0322814070351758
flipping_label,1.9,9.999999999999999e-51,0.5319140502512563,4,1292,246,0.016,0.0030864197530864,0.0051746442432082,0.0259698492462311
flipping_label,2.0,9.999999999999999e-51,0.4585889849246231,6,1120,244,0.024,0.0053285968028419,0.0087209302325581,0.0225125628140703
noisy_all2all,1.0,9.999999999999999e-51,0.6313316084210526,315,363,2185,0.126,0.4646017699115044,0.198237885462555,0.0076421052631578
noisy_all2all,1.1,9.999999999999999e-51,0.6484909178947369,492,372,2008,0.1968,0.5694444444444444,0.2925089179548157,0.0078315789473684
noisy_all2all,1.2,9.999999999999999e-51,0.6741458189473684,307,213,2193,0.1228,0.5903846153846154,0.2033112582781457,0.0044842105263157
noisy_all2all,1.3,9.999999999999999e-51,0.6277379326315788,426,834,2074,0.1704,0.3380952380952381,0.226595744680851,0.0175578947368421
noisy_all2all,1.4,9.999999999999999e-51,0.6400546694736842,376,799,2124,0.1504,0.32,0.204625850340136,0.0168210526315789
